Region,Category,Sales,CustomerID,EmployeeName
East,Electronics,3457,2599,Charlie
West,Electronics,5834,6179,Diana
North,Electronics,1646,9850,Diana
East,Electronics,1711,6562,Bob
South,Electronics,4077,5110,Charlie
North,Electronics,5207,2330,Charlie
North,Clothing,4249,6410,Ethan
North,Electronics,4712,8483,Bob
East,Clothing,7762,2126,Alice
South,Food,4611,6386,Charlie
North,Furniture,655,3717,Alice
West,Clothing,8497,6185,Ethan
North,Furniture,9293,1512,Diana
North,Food,3963,7768,Diana
East,Electronics,217,9366,Charlie
East,Furniture,2627,2686,Bob
South,Furniture,3951,2295,Ethan
West,Food,3861,2273,Ethan
East,Food,5590,3309,Alice
North,Food,6471,3307,Alice
South,Clothing,9750,6956,Ethan
North,Clothing,5336,3294,Ethan
North,Furniture,5803,7956,Diana
East,Food,4736,8249,Ethan
South,Furniture,9340,6277,Diana
West,Electronics,6330,3107,Alice
West,Food,3100,2823,Ethan
East,Clothing,7522,9290,Charlie
East,Food,5615,4667,Bob
South,Furniture,2325,6918,Diana
West,Clothing,9397,6041,Ethan
West,Electronics,6087,3192,Bob
West,Electronics,3093,1654,Alice
North,Furniture,8822,8421,Charlie
West,Food,4962,7283,Ethan
North,Electronics,3540,5106,Ethan
South,Furniture,2096,1583,Alice
North,Clothing,9033,1578,Alice
South,Clothing,1174,7880,Diana
West,Furniture,7628,7771,Ethan
West,Food,966,1805,Ethan
South,Food,3882,6992,Charlie
East,Food,9484,8701,Diana
South,Food,4121,5290,Charlie
East,Furniture,9462,9915,Diana
North,Furniture,4283,4005,Ethan
North,Clothing,7569,1654,Diana
North,Clothing,690,3860,Ethan
West,Food,7291,9556,Bob
North,Electronics,2324,6672,Bob
East,Electronics,7454,3949,Diana
North,Clothing,5433,3416,Alice
South,Clothing,6233,1125,Bob
South,Furniture,4945,7240,Ethan
West,Clothing,9908,6709,Diana
South,Clothing,5004,9072,Ethan
East,Food,4998,7520,Bob
North,Electronics,2595,4768,Bob
West,Electronics,9496,7601,Ethan
North,Furniture,8456,4610,Alice
North,Electronics,2583,8847,Diana
East,Food,3701,6330,Charlie
South,Food,3427,3538,Charlie
South,Furniture,2100,8116,Ethan
North,Clothing,5355,7040,Bob
West,Clothing,4672,8561,Charlie
South,Food,6996,7814,Ethan
West,Furniture,5333,8044,Diana
South,Food,2464,9013,Diana
West,Electronics,8223,4561,Diana
East,Electronics,5928,9555,Alice
West,Food,1310,3188,Diana
East,Clothing,6946,5678,Bob
East,Electronics,1898,8673,Diana
West,Furniture,646,2940,Alice
East,Clothing,8333,2680,Ethan
North,Electronics,1848,4636,Charlie
East,Food,7552,4073,Alice
South,Clothing,6537,7304,Ethan
West,Clothing,7013,2002,Charlie
North,Electronics,1660,8146,Diana
West,Furniture,3877,9181,Ethan
South,Electronics,6302,1485,Charlie
South,Electronics,7885,8131,Diana
South,Electronics,2666,6374,Bob
East,Electronics,7956,7088,Bob
East,Electronics,7119,8985,Charlie
West,Food,1867,5736,Bob
West,Electronics,1420,6748,Bob
North,Furniture,4044,3910,Diana
North,Clothing,5511,5771,Diana
West,Food,7251,2678,Ethan
East,Furniture,6008,1375,Bob
South,Electronics,8574,1944,Charlie
West,Furniture,4792,3065,Bob
North,Clothing,6462,6322,Alice
East,Furniture,7144,7026,Ethan
West,Electronics,6104,1438,Alice
West,Clothing,3910,5057,Diana
East,Electronics,6201,1062,Diana
West,Electronics,926,3232,Bob
East,Food,4103,6481,Charlie
South,Clothing,8581,7988,Bob
East,Clothing,8855,7228,Alice
East,Electronics,4697,6953,Diana
East,Furniture,7776,8676,Alice
West,Clothing,8945,3684,Charlie
West,Furniture,3230,5441,Bob
East,Furniture,1180,8592,Alice
West,Clothing,9947,3803,Bob
North,Furniture,3208,3813,Alice
North,Clothing,3869,7604,Ethan
West,Food,8758,6070,Ethan
West,Clothing,4995,9830,Ethan
East,Clothing,3634,9421,Bob
South,Clothing,7968,6266,Alice
West,Food,2127,6035,Charlie
North,Furniture,3792,4670,Diana
East,Food,6126,9704,Diana
West,Furniture,2760,5957,Charlie
North,Clothing,6389,3927,Diana
North,Clothing,2352,2044,Ethan
South,Food,2126,5507,Alice
East,Food,1354,9586,Bob
East,Food,9583,2687,Diana
South,Food,9237,4771,Charlie
South,Clothing,7625,7722,Bob
East,Clothing,8780,9268,Alice
East,Electronics,6867,8412,Bob
West,Food,4925,4371,Bob
West,Food,9039,4295,Alice
South,Furniture,9914,7358,Ethan
West,Furniture,455,2214,Alice
North,Clothing,6398,4071,Bob
West,Electronics,2839,2302,Charlie
West,Food,9907,6041,Alice
North,Electronics,3248,7659,Alice
South,Electronics,9007,4447,Ethan
North,Clothing,4030,1150,Diana
West,Electronics,7748,6153,Charlie
South,Food,4866,4893,Charlie
West,Clothing,5358,5576,Diana
North,Electronics,4596,3516,Bob
North,Clothing,6357,2873,Charlie
West,Clothing,8187,6668,Diana
East,Furniture,6203,2728,Bob
East,Clothing,5232,4650,Ethan
North,Electronics,8185,9783,Alice
North,Furniture,9974,7710,Charlie
East,Food,9738,8702,Diana
East,Food,7288,1543,Bob
West,Food,9811,6837,Diana
West,Food,4410,2967,Alice
East,Food,5363,9230,Alice
West,Electronics,2637,7786,Alice
West,Clothing,5098,9956,Bob
South,Furniture,8631,2363,Diana
West,Clothing,8403,9257,Diana
North,Clothing,3837,5896,Ethan
West,Electronics,4281,1176,Charlie
West,Electronics,4556,5392,Bob
East,Electronics,583,9722,Ethan
North,Furniture,9172,7154,Alice
West,Electronics,3202,9251,Bob
West,Clothing,7627,6547,Diana
South,Furniture,267,8318,Diana
West,Electronics,7550,9789,Diana
West,Electronics,7148,9716,Charlie
South,Electronics,7215,1685,Ethan
East,Clothing,8128,6816,Charlie
West,Electronics,3391,2718,Alice
South,Clothing,1835,6130,Charlie
North,Furniture,7380,7286,Charlie
East,Electronics,9840,7141,Bob
North,Food,6193,2633,Ethan
North,Food,946,1654,Ethan
South,Clothing,987,5334,Charlie
West,Electronics,6607,3972,Diana
South,Electronics,9603,7510,Alice
South,Food,4153,7697,Diana
South,Furniture,3226,7153,Diana
South,Furniture,4364,5199,Charlie
East,Clothing,1917,3641,Ethan
West,Food,3280,8869,Bob
North,Clothing,5120,9051,Diana
North,Clothing,3043,7081,Charlie
West,Furniture,6279,1603,Charlie
North,Food,6967,2654,Bob
West,Clothing,4036,8929,Bob
North,Furniture,6302,1868,Ethan
South,Furniture,5710,9362,Diana
North,Electronics,3842,6422,Ethan
West,Food,9475,6906,Ethan
West,Food,2957,2168,Alice
West,Electronics,3996,3133,Charlie
West,Clothing,5587,1412,Bob
West,Furniture,5182,9893,Charlie
East,Furniture,8635,8793,Charlie
East,Furniture,7579,6322,Ethan
North,Electronics,6165,6255,Charlie
West,Furniture,8926,8677,Charlie
North,Clothing,1337,8927,Bob
West,Clothing,3329,4635,Charlie
West,Electronics,4477,2852,Diana
East,Clothing,2277,8079,Alice
East,Food,5581,7153,Alice
South,Food,3023,8247,Diana
East,Furniture,6506,6427,Alice
South,Furniture,5374,8865,Charlie
South,Food,1428,9626,Bob
South,Clothing,5467,6861,Ethan
South,Electronics,9528,6767,Charlie
South,Furniture,1533,6141,Ethan
North,Furniture,1956,6497,Charlie
East,Food,1632,1548,Charlie
South,Food,6961,8275,Charlie
West,Electronics,5063,6506,Bob
East,Furniture,1595,7316,Bob
East,Clothing,8380,3137,Bob
South,Clothing,2028,8016,Charlie
North,Food,9330,3812,Charlie
South,Electronics,5993,3537,Diana
North,Food,7824,4563,Diana
West,Electronics,1967,9741,Ethan
East,Clothing,8234,7267,Bob
West,Electronics,9734,7609,Alice
North,Clothing,4005,6672,Ethan
North,Electronics,5629,3011,Ethan
West,Food,5180,3525,Alice
North,Clothing,3873,1305,Alice
West,Furniture,568,8726,Bob
East,Furniture,8932,6386,Charlie
West,Clothing,8728,9078,Ethan
East,Furniture,8265,4195,Alice
West,Clothing,9247,5348,Bob
North,Food,4717,5929,Ethan
West,Food,1785,9807,Charlie
North,Electronics,384,4616,Ethan
West,Furniture,5032,4250,Alice
West,Furniture,5611,5691,Alice
South,Furniture,2584,6988,Diana
North,Clothing,1262,4033,Bob
South,Food,9729,8740,Bob
North,Furniture,1671,7186,Charlie
South,Electronics,4109,4143,Ethan
East,Furniture,7963,3559,Charlie
West,Electronics,4842,1558,Alice
North,Furniture,489,3391,Ethan
North,Furniture,656,5347,Diana
West,Food,6649,7111,Diana
North,Electronics,2100,3560,Ethan
North,Furniture,7858,2985,Bob
South,Electronics,2604,4370,Charlie
North,Electronics,3625,4240,Diana
East,Food,9402,4262,Diana
East,Food,6242,3360,Ethan
West,Electronics,5428,6849,Diana
North,Food,1376,5877,Alice
West,Furniture,7427,8076,Ethan
East,Furniture,3366,1874,Alice
North,Food,9692,5935,Ethan
North,Electronics,6387,9443,Alice
West,Furniture,4325,5678,Charlie
East,Clothing,2135,9242,Charlie
North,Electronics,5910,1708,Ethan
West,Electronics,9748,9695,Charlie
East,Clothing,1452,2774,Charlie
West,Clothing,9223,2263,Diana
South,Electronics,5741,7870,Ethan
North,Clothing,3047,4517,Diana
South,Food,4280,8254,Alice
East,Food,5064,6008,Diana
South,Electronics,6245,4346,Diana
South,Food,8703,2155,Diana
East,Furniture,220,3244,Ethan
West,Food,1580,7143,Bob
South,Food,8300,5749,Diana
West,Clothing,7908,5900,Bob
South,Food,4507,3231,Bob
West,Electronics,8080,5066,Bob
East,Food,599,5869,Diana
South,Food,7152,7510,Alice
East,Electronics,6129,5822,Alice
South,Electronics,4340,3451,Diana
East,Clothing,4596,3769,Ethan
East,Furniture,3074,9589,Charlie
South,Food,8977,3815,Ethan
South,Furniture,5780,4320,Alice
South,Clothing,854,7504,Alice
North,Electronics,5422,1222,Bob
West,Electronics,6190,2606,Diana
North,Electronics,2414,9752,Diana
North,Clothing,7980,8045,Bob
East,Food,2397,9879,Alice
South,Clothing,4634,5758,Alice
West,Electronics,3779,1716,Charlie
East,Food,486,4221,Ethan
North,Electronics,1585,8674,Ethan
South,Electronics,2643,6242,Diana
East,Clothing,4811,2771,Alice
South,Clothing,7228,7720,Alice
East,Furniture,6215,5669,Bob
South,Electronics,8428,1345,Ethan
North,Food,2149,9683,Bob
West,Electronics,5338,8452,Bob
North,Food,956,4141,Charlie
West,Furniture,1243,8531,Ethan
South,Electronics,2937,7683,Alice
East,Food,8440,7100,Bob
North,Food,7085,4650,Ethan
West,Furniture,2366,4771,Alice
North,Clothing,6426,5797,Ethan
West,Furniture,8861,4672,Charlie
North,Food,297,2814,Ethan
West,Furniture,3545,2468,Ethan
West,Clothing,5662,3284,Charlie
South,Electronics,6603,2743,Bob
West,Furniture,5604,9470,Bob
South,Furniture,7365,1959,Diana
West,Electronics,7571,1662,Diana
East,Furniture,9003,4599,Diana
East,Clothing,9218,5146,Bob
East,Food,8499,8729,Alice
West,Furniture,5603,3383,Bob
South,Electronics,2452,4137,Diana
South,Electronics,2875,6729,Diana
West,Furniture,9283,5583,Alice
East,Electronics,5984,9827,Alice
East,Food,3526,4514,Charlie
South,Food,8416,8292,Ethan
East,Electronics,960,3586,Ethan
North,Furniture,8999,1693,Bob
South,Furniture,1414,7947,Bob
East,Electronics,4654,1572,Charlie
South,Food,1157,8072,Diana
North,Food,6986,7155,Alice
South,Furniture,8221,7790,Bob
South,Food,4536,1940,Charlie
South,Clothing,9652,7150,Diana
South,Food,9461,9207,Bob
North,Furniture,7985,6692,Alice
West,Food,1673,7330,Charlie
South,Food,8611,4310,Charlie
South,Electronics,7296,6599,Charlie
East,Clothing,8662,2179,Alice
South,Electronics,7277,7850,Charlie
East,Food,1908,2776,Alice
West,Food,7200,3292,Diana
North,Electronics,6327,9431,Alice
North,Clothing,1716,1867,Bob
West,Furniture,4778,8755,Alice
North,Electronics,5078,3190,Charlie
West,Food,4000,2861,Diana
West,Food,970,6037,Charlie
West,Furniture,399,4384,Diana
North,Food,2369,7158,Alice
East,Food,9225,3445,Charlie
West,Furniture,4428,9257,Alice
South,Food,2325,3621,Ethan
North,Food,173,5907,Charlie
West,Clothing,7555,6053,Bob
West,Electronics,7132,4043,Bob
South,Clothing,1469,2386,Charlie
East,Clothing,1555,7500,Ethan
East,Food,2365,4445,Charlie
East,Electronics,7809,6488,Ethan
West,Electronics,6863,5843,Ethan
West,Food,2948,8303,Charlie
West,Clothing,8573,2051,Charlie
North,Clothing,813,7015,Alice
South,Clothing,7565,8515,Bob
West,Electronics,7306,1734,Bob
South,Food,5536,4002,Charlie
South,Electronics,8027,9260,Alice
East,Clothing,9229,7327,Diana
North,Electronics,915,8470,Alice
West,Electronics,1875,7773,Alice
East,Food,7428,7312,Bob
East,Food,9470,3547,Alice
West,Electronics,5376,6984,Alice
South,Furniture,3893,7310,Ethan
East,Food,3014,3375,Ethan
South,Furniture,7890,9730,Diana
North,Food,6605,4378,Alice
South,Clothing,4672,4810,Charlie
North,Furniture,1267,2306,Alice
South,Clothing,8548,6037,Ethan
East,Clothing,7605,7814,Bob
East,Electronics,2535,7251,Diana
North,Clothing,1848,2958,Diana
West,Clothing,8423,6341,Bob
North,Clothing,2774,3391,Alice
North,Clothing,2551,3030,Diana
South,Electronics,4514,3079,Alice
South,Electronics,9094,2273,Charlie
North,Clothing,9104,1431,Bob
East,Furniture,4859,9284,Alice
South,Food,8789,7956,Charlie
West,Furniture,6143,7192,Ethan
South,Clothing,2652,2135,Charlie
South,Electronics,8443,4292,Charlie
West,Clothing,3383,1385,Diana
North,Clothing,6523,2159,Alice
West,Electronics,9641,2205,Charlie
North,Furniture,1225,5597,Alice
North,Food,6626,3062,Diana
North,Clothing,1497,2816,Diana
West,Electronics,2912,3239,Charlie
North,Food,380,4467,Bob
East,Food,6723,1578,Ethan
West,Food,7860,1202,Ethan
East,Electronics,9768,2111,Alice
North,Clothing,372,3312,Charlie
South,Electronics,7724,6535,Alice
North,Clothing,7606,7021,Bob
East,Furniture,620,7763,Alice
East,Food,1826,2371,Ethan
West,Clothing,4299,9662,Diana
South,Furniture,9398,4872,Charlie
West,Electronics,5328,7790,Diana
East,Food,7387,5370,Bob
North,Clothing,9767,7958,Ethan
South,Food,5097,9180,Diana
North,Food,5486,5852,Bob
North,Food,9208,5469,Alice
South,Electronics,2082,3111,Diana
West,Food,6739,9013,Alice
North,Clothing,4412,7854,Charlie
East,Electronics,5859,1233,Alice
North,Furniture,4021,5645,Charlie
South,Clothing,8952,6885,Alice
South,Electronics,3834,3147,Diana
South,Clothing,7840,8572,Bob
West,Clothing,2145,3920,Alice
North,Furniture,769,3606,Alice
West,Electronics,6223,6988,Alice
West,Food,1745,8520,Diana
South,Clothing,9721,8773,Bob
South,Clothing,3541,1499,Bob
West,Clothing,1019,3481,Ethan
North,Clothing,7482,4710,Diana
East,Clothing,5526,6065,Diana
West,Electronics,2212,4093,Ethan
North,Clothing,4051,6398,Ethan
South,Clothing,511,9245,Bob
South,Clothing,7519,1041,Alice
North,Food,5367,4249,Ethan
East,Food,3399,1196,Alice
South,Electronics,2958,6742,Diana
South,Clothing,9512,7096,Diana
South,Clothing,2850,4937,Alice
North,Furniture,6414,2003,Alice
West,Food,853,5646,Diana
South,Furniture,1586,6688,Alice
West,Clothing,9732,4113,Ethan
East,Clothing,3471,1876,Charlie
South,Furniture,5372,4121,Charlie
South,Electronics,7558,1601,Bob
East,Electronics,2306,4663,Alice
South,Furniture,2469,6052,Ethan
West,Clothing,7265,9357,Alice
North,Furniture,7446,6674,Bob
West,Food,3870,8799,Ethan
North,Electronics,7668,5054,Diana
North,Furniture,1191,6445,Diana
West,Electronics,8099,7028,Charlie
West,Food,9702,2445,Ethan
West,Clothing,943,8967,Diana
West,Clothing,6453,8055,Alice
East,Clothing,9954,6200,Ethan
South,Electronics,977,4167,Diana
North,Food,6200,3463,Bob
West,Furniture,6612,2667,Charlie
West,Clothing,5785,7962,Alice
West,Electronics,3731,8422,Alice
East,Clothing,1661,3331,Ethan
West,Food,5547,7399,Ethan
West,Furniture,9403,7772,Alice
West,Clothing,2254,4994,Diana
South,Food,303,4387,Bob
East,Electronics,4776,2469,Ethan
West,Food,6179,6294,Charlie
North,Electronics,963,7640,Bob
North,Clothing,3809,9665,Bob
North,Clothing,7070,9843,Charlie
East,Food,8825,4327,Ethan
East,Electronics,5162,8883,Alice
North,Food,9031,5121,Alice
West,Food,4506,2720,Bob
East,Clothing,2412,1591,Bob
North,Clothing,8665,4997,Bob
North,Clothing,2758,6823,Bob
West,Food,4415,4748,Charlie
South,Food,1600,6876,Ethan
East,Furniture,619,7280,Alice
West,Furniture,462,2788,Alice
North,Food,1576,5860,Charlie
North,Furniture,2112,4945,Diana
West,Food,3424,1681,Alice
East,Clothing,5955,2615,Charlie
South,Electronics,8291,1403,Bob
South,Clothing,5363,9268,Alice
North,Food,630,2726,Diana
East,Clothing,4247,3832,Charlie
South,Food,2802,3708,Charlie
East,Food,9869,8699,Alice
East,Furniture,1731,4414,Bob
North,Food,946,3703,Ethan
South,Electronics,7945,6561,Alice
West,Furniture,9187,4070,Alice
North,Electronics,9648,7133,Diana
South,Food,1719,4217,Ethan
South,Clothing,1970,2754,Bob
South,Food,2346,7576,Charlie
South,Food,9754,1154,Charlie
South,Clothing,2297,7251,Charlie
East,Clothing,6293,7226,Alice
North,Electronics,1463,6971,Diana
East,Furniture,3702,4284,Ethan
West,Furniture,9150,8724,Ethan
South,Furniture,9069,3569,Alice
North,Electronics,8341,7458,Bob
South,Electronics,475,7993,Bob
North,Clothing,122,7247,Ethan
East,Furniture,2772,5886,Ethan
North,Food,1129,2724,Alice
West,Electronics,4475,2247,Ethan
West,Food,492,9039,Diana
North,Furniture,3617,5957,Bob
North,Furniture,9385,8222,Diana
North,Electronics,9789,1116,Alice
North,Electronics,6224,3342,Charlie
West,Clothing,7601,3142,Alice
South,Food,8775,1783,Alice
North,Clothing,5023,9716,Charlie
North,Clothing,8522,8003,Ethan
West,Food,186,6218,Charlie
West,Furniture,4584,4953,Ethan
East,Food,1743,1693,Bob
North,Furniture,9010,2270,Diana
East,Clothing,4932,4729,Bob
West,Furniture,2329,1177,Bob
West,Furniture,2569,5306,Bob
South,Furniture,6696,9959,Bob
North,Food,2348,4876,Bob
East,Furniture,682,7291,Charlie
West,Food,4219,9653,Bob
West,Electronics,972,3066,Bob
East,Electronics,2483,5378,Alice
South,Clothing,8264,9307,Alice
West,Clothing,3821,4485,Alice
North,Food,9784,4660,Bob
West,Furniture,7416,7752,Bob
North,Furniture,6997,4297,Charlie
East,Electronics,1194,1023,Bob
North,Food,4107,1063,Ethan
East,Furniture,4587,2274,Alice
North,Furniture,2395,5704,Diana
East,Food,9420,4722,Alice
North,Clothing,5271,1859,Charlie
South,Food,2405,4416,Charlie
North,Food,5704,5751,Bob
North,Furniture,8697,9072,Ethan
South,Electronics,1754,6908,Bob
West,Furniture,5081,7541,Alice
West,Furniture,9879,5832,Diana
North,Furniture,6610,8700,Bob
South,Food,3873,1681,Charlie
North,Food,4545,9980,Diana
East,Furniture,6869,3450,Bob
East,Furniture,7973,8955,Diana
North,Electronics,2202,6122,Charlie
West,Clothing,3952,1657,Charlie
West,Furniture,9087,8900,Bob
North,Food,3004,5410,Bob
North,Clothing,1553,1826,Bob
East,Clothing,9170,9073,Bob
West,Electronics,8678,1110,Alice
North,Clothing,2534,7357,Ethan
East,Furniture,9472,4161,Bob
West,Furniture,4619,4309,Charlie
South,Food,886,7821,Bob
East,Furniture,6903,7355,Alice
West,Furniture,3319,2896,Alice
West,Electronics,7358,2506,Charlie
East,Clothing,6799,3106,Charlie
South,Electronics,1873,3036,Diana
East,Clothing,2142,3405,Bob
West,Electronics,9916,7665,Alice
North,Food,7269,3336,Diana
